ts	phase	decision	why	evidence	result
2026-09-21T20:39:00Z	frame	set the exit condition as a predicate before driving	the run had to stop on a checkable state, not a feeling	todos/lira-td-verify-finish.md	predicate stated
2026-09-21T20:39:30Z	live	ran doctor and the MCP info read first	prove the surfaces before making any claim	lira_osc.py doctor, get_td_info	both lanes true, TD owns 9121, Pd owns 9122
2026-09-21T20:40:30Z	bindings	ran td_binding_check.py on the live node	the map is the source of truth so it has to pass on the real node	scripts/td_binding_check.py	PASS, 59 of 59 mapped, flow fed by null1
2026-09-21T20:41:30Z	drive	wrote mod-2 and hold-1234 and read the parameters back	a send that changes nothing was the user's exact complaint	artifacts/lira-td/td-bindings/values.txt	Force +11.07, Offsetbmv -0.089, audio_out off
2026-09-21T20:42:30Z	motion	captured two frames 2.5 s apart	the user reported the video freezing when a note was held	frame_a.png vs frame_b.png, out1, 1024x576	mean abs diff 64.81, the picture moves
2026-09-21T20:43:20Z	panel	moved Melthigh and read Offsetbymotionvector	prove the panel drives a destination	TouchDesigner MCP read	0.502 -> 0.1304 as the range fell to 0.20
2026-09-21T20:44:40Z	panel	tried a real button click, then failed closed	writing par.value0 leaves the sliders unchanged, no pane click API exists, and cua-driver is not answering	par.value0 write, pane dir, cua-driver calls	unverified, recorded in ui-panel.md Gotchas
2026-09-21T20:45:30Z	disk	restored the buses, then saved and compared hashes	the saved file has to carry the live node	project.save, shasum	lira.toe == lira.12.toe, d396f0f5
2026-09-21T20:47:00Z	docs	validated frontmatter, links, the four-H2 contract, and unslop	the skill is read cold by the next agent	validation script	clean, td_binding_check.py is exec-only by design
2026-09-21T21:31:00Z	panel	found buttonCOMP.click() in the class docs and used it	a real click is the only honest proof of the buttons	buttonCOMP class method click()	Store A, Randomise and Store B all fired
2026-09-21T21:32:30Z	panel	saw Melt not move on Randomise and checked the parameter modes	"the sliders did nothing for two controls, which smells like a frozen binding"	td_build par dump	Meltlow and Melthigh sat in CONSTANT
2026-09-21T21:33:40Z	panel	fixed the two parameters back to EXPRESSION	they carried their expression text but never ran it	par.mode = ParMode.EXPRESSION	Randomise now moves all 11 and the destination followed
2026-09-21T21:34:40Z	panel	found preset_exec calling panelValue.eval() on a real click	the earlier stand-in had an eval() the real PanelValue lacks, which hid the bug	stderr from the live slider click	AttributeError, the morph never ran
2026-09-21T21:37:40Z	panel	made the morph read the slider par instead of the panel value	the panel value reads 0 during a touch, so every morph wrote A	probe of onValueChange	('s_morph1', '0')
2026-09-21T21:38:10Z	panel	verified the morph lands midway for real	the fix has to hold on a real drag, not a stand-in	interactMouse at 0.75, then 0.5	max err 0.0 for all 11, twice
2026-09-21T21:38:30Z	panel	turned offtoon and ontooff off on preset_exec	they ran with no onOffToOn callback and printed a script error per press	ex.scriptErrors()	errors none
2026-09-21T21:41:00Z	panel	re-ran tools/td_build.py to prove the generator matches	the generator is the artifact the next agent runs	td_build output	offtoon False, valuechange True, morph reads the slider
2026-09-21T21:43:40Z	verify	saved and re-ran the health checks on the final state	disk has to carry the fix	binding check, save, shasum	PASS 59 of 59, lira.toe == lira.14.toe
2026-09-21T21:44:10Z	motion	measured two frames on the final state	the earlier motion number was from before the generator rerun	frame_e vs frame_f	69.61, moving
2026-09-21T22:10:00Z	swarm	framed four read-only slices and fanned out N=4	parallel coverage of the integration, no writes so the checkout can be shared	todos/swarm-lira-td.md	all four returned
2026-09-21T22:20:00Z	swarm	bus-coverage PASS, shader-math ISSUES, panel-code ISSUES, skill-contract ISSUES	one slice found the gate missing, one found three panel defects, one found unsupported figures	artifacts/lira-td/swarm/results.txt	7 findings, 1 dismissed
2026-09-21T22:23:00Z	shader	confirmed against the live node that no confidence gate existed and the map claimed one	a worker claim is evidence, not fact, so the parent reads the live shader	live glslmulti1_pixel text	confirmed, map wrong
