ts	phase	decision	why	evidence	result
2026-09-19T00:00:00Z	frame	measured the shipped abs/av.glitch.pd before changing it	the report was white screen and no reaction, which needs reproducing not guessing	probe of the old chain	old chain emitted a texture-less gemlist and sent pix_roll its axis on the wrong inlet
2026-09-19T00:05:00Z	harness	built a headless GEM render probe and measured frames instead of reading the patch	two attempted fixes had failed on the same assumption, so the observation method had to change	tools/mosh_probe.py	turned a guess loop into a measurement loop
2026-09-19T00:10:00Z	harness	fixed the capture: pix_write needs color_format 4	every frame came back red-tinted, which looked like a render bug and was a grab bug	tools/mosh_probe.py per-run log	pix_write grabs 3 bytes per pixel from a 4 byte buffer by default
2026-09-19T00:15:00Z	harness	worked out that GEM's projection is a fixed 4x4 world	the video was stretched and letterboxed, and both 4x3 and 1.6875x3 failed	content bbox 576x768 inside a 576x1024 frame	a 4x4 quad in a 288x512 window fills it at the video's own aspect
2026-09-19T00:25:00Z	control	found the sweep was pinned at zero	the whole mosh was inert, which read as the video not reacting to audio	pd log, cycle_out 0 on every tick	Pd [%] truncates to int, so a float phase wraps to 0
2026-09-19T00:30:00Z	control	rewrote the control block as a latched 40 Hz poll	chained arithmetic only fires from its left inlet, so depth and amount were computed once at load	pd log, amount_clip printed once for a whole run	ordering is explicit now and every derived value settles within a tick
2026-09-19T00:35:00Z	mosh	tested pix_delay, pix_tIIR, pix_motionblur and pix_roll as the stale-frame source	three of the four emitted no texture, which is the white screen	tools/gem_object_probe.py, stage-isolated runs	pix_delay dropped; pix_motionblur is the one that is already a P-frame
2026-09-19T00:45:00Z	mosh	chose pix_motionblur then pix_roll as the shipped chain	blur alone was too subtle and roll alone was a plain scroll; together they melt and drag	vs clean baseline 47.0 at mod-2 90 versus 8.8 for blur alone	abs/av.glitch.pd
2026-09-19T00:50:00Z	mosh	verified idle is an exact passthrough	the ask was explicit that holds hard left must leave the video alone	vs clean baseline 0.0 with every bus at 0	idle structure is preserved
2026-09-19T01:00:00Z	reference	wrote a real ffmpeg datamosh by dropping I-frames from the elementary stream	"datamosh like in ffmpeg" should be checkable against the real thing, not only a reconstruction	tools/datamosh.py, 28 I-frames down to 1	av/mosh_ref.mp4 melts visibly at frame 90
2026-09-19T01:10:00Z	verify	ran the real abstraction with the real bus names	end to end rather than through the harness	tools/verify_av.py, 250 frames, no errors	idle white_frac 0.0023, active temporal_mad 46.1 against idle 35.2
2026-09-19T01:15:00Z	verify	loaded the whole _LIRA-8.pd headless	the abstraction only ships if the app that instantiates it still starts	/tmp/appload.log, gem window created	no object errors; the one audio warning predates this change
2026-09-19T12:05:00Z	reference	identified the effect the user linked by pulling the video section and reading its own transcript	guessing at a named effect wastes a build; the tutorial names its own operators	yt-dlp section at 1052s, subtitle frequency: feedback 64, displace 33, optical flow 8	the effect is a feedback buffer whose stored motion is re-applied every frame through a displacement map
2026-09-19T12:20:00Z	gem	checked whether GEM can carry a custom shader before committing to it	GEM was the user's first choice and the answer decides the whole approach	GEM ships glsl, glsl_fragment, glsl_vertex, glsl_program and 20 shader examples	GLSL compiles and links on this machine, so the look is not blocked by capability
2026-09-19T12:35:00Z	gem	found the working chain order by rendering candidates instead of reading the help patches	the help patches ship unwired examples and the ones that are wired are nested three deep	pd render of three chain orders, only one produced a picture	pix_texture then rectangle then glsl_program; a shader shades geometry so the quad comes first
2026-09-19T12:50:00Z	gem	found that GEM's glsl abstraction cannot hold dynamic uniforms	a shader whose values cannot move is useless for an audio-reactive effect	pd log, one vertex-stage error per uniform message; glsl_program print lists the uniforms it did link	dead end without either patching GEM or using the raw module objects
2026-09-19T13:00:00Z	gem	found the raw glsl_vertex and glsl_fragment objects never report module ids	that is what glsl_program must link, so the clean route cannot be wired from Pd	pd log, glsl_program reports can't link zero shaders with relative and absolute shader paths	GEM shader route parked; abs/shader/mosh.frag kept with its status in the header
2026-09-19T13:10:00Z	bridge	checked whether Pd can speak OSC without installing anything	the TouchDesigner question is mostly a transport question, and an external dependency would be the hard part	oscformat and oscparse round trip in /tmp/osctest.pd	Pd vanilla ships oscformat, oscparse, netsend and netreceive, so the link needs no externals
2026-09-19T13:25:00Z	bridge	built and verified abs/av.osc.pd against the existing round-trip test	the test already existed and had nothing to point at	tools/verify_osc.py	PASS: bus to OSC and OSC to bus both verified on 127.0.0.1 ports 9121 and 9122
2026-09-19T13:35:00Z	bridge	wired av.osc into _LIRA-8.pd	the bridge is only useful if the instrument carries it	_LIRA-8.pd, appended after the connect block	app still loads headless; no object errors
2026-09-19T13:40:00Z	bridge	checked whether TouchDesigner is installed to run the other end	the whole point of the bridge is the far side	no /Applications/TouchDesigner*, no Derivative entry	TouchDesigner is not on this machine and has to be installed before the bridge has anything to talk to
2026-09-19T14:10:00Z	bridge	dropped GEM and rebuilt the bridge to carry every bus, not a hand-picked few	the user asked for every output and a hand-kept list drifts the moment a control is added	tools/osc_bridge_source.py scans _LIRA-8.pd	59 buses, and a new control shows up on the next run
2026-09-19T14:20:00Z	bridge	worked out the two naming families in the patch so the live value is the one mirrored	each control has both an s- and an r- bus and picking wrong mirrors a dead value	scan of bare [s $0-r-<base>] objects	19 buses are live readouts the engine pushes so they are read-only; 40 are writable controls
2026-09-19T14:30:00Z	bridge	found the widgets publish label and label_pos on the same buses	the full app filled the console with oscformat errors the isolated test never saw	pd log, five oscformat errors per load	added [route float] in front of every sender; [t f] filters but prints an error each time
2026-09-19T14:40:00Z	bridge	fixed the test's own OSC codec, which was padding a 4-aligned string with nothing	a 12 character address was not null-terminated so Pd's oscparse called it malformed	pd log, malformed type string; /lira/mod-12 came back with no value	both the encoder and the parser now add a whole null word after a 4-aligned string
2026-09-19T14:50:00Z	verify	listened on the OSC port while the real instrument ran	the unit test only proves the abstraction, not that the app carries it	python listener on 127.0.0.1 9121 for 11 seconds	49 addresses arrived, including /lira/cpu ten times as the meter ticked
2026-09-19T16:20:00Z	td	found the datamosh project is a clone with a ready Datamoshing.tox	the bridge needs a far end and the user pointed at this repo	td-datamosh/, README, FollowTheDarkside/td-datamosh	the component was already available, so no network had to be built from scratch
2026-09-19T16:48:00Z	td	read the component with the app's own toeexpand instead of guessing at its parameters	the tox is encrypted and unreadable, but TouchDesigner ships expand and collapse tools	toeexpand Datamoshing.tox	recovered the full parameter list and the internal network as text
2026-09-19T16:55:00Z	td	found the component is a recursive loop with only one way out	the melt accumulates forever, so the picture freezes instead of recovering	pixel shader and feedback1.parm, top is glslmulti	Offsetbymotionvector is the melt strength and Feedbackreset is the only reset
2026-09-19T17:05:00Z	td	wrote the wiring as a Textport script rather than a rebuilt toe	the script sets expressions through the API, so nothing about TouchDesigner's file format has to be guessed	tools/td_build.py, py_compile clean	one paste does the whole TD side and prints its own evidence
2026-09-19T17:25:00Z	td	stopped driving the TouchDesigner GUI after four attempts	the window lives on another Space, its accessibility surface keeps dropping, and the user was typing in a browser	container refusal, menu press reported unverifiable with no pane opening	handed back the one paste instead of taking over the screen
